I,Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,IP Rating,Product,Contact Gender,Termination Style,UID
4740,523-TV07ZN13E4P,TV07ZN13E4P,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,13  In Stock,$506.28,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV07ZN13E4P?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nd%252BpTNr3eAv5QOtwGVjqY8A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV07ZN13E4P&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4742,523-TV06ZN17E6P,TV06ZN17E6P,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,5  In Stock,$705.95,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV06ZN17E6P?qs=sGAEpiMZZMvwyOPDUMfDH11D%2FviRRGo4I%2FHqNTiRxPyCdqoUXLh6Lg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV06ZN17E6P&utm_content=Amphenol-Socapex,,Plugs,Pin (Male),Crimp,366
4743,523-TV07ZN17E6PA,TV07ZN17E6PA,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,5  In Stock,$748.75,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV07ZN17E6PA?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nX65ijD8TcAUCivnjpWcJ2g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV07ZN17E6PA&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4744,523-TV06RW17E6PA,TV06RW17E6PA,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,5  In Stock,$673.86,,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV06RW17E6PA?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nR2CPf8zcBclvfk3PtarL%252BQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV06RW17E6PA&utm_content=Amphenol-Socapex,,Plugs,Pin (Male),Crimp,366
4745,523-TV06RW13E4SA,TV06RW13E4SA,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,5  In Stock,$520.70,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV06RW13E4SA?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6noGJG%252B%2F9kWWhlhayBArbXGg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV06RW13E4SA&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4747,523-TV07ZN25E6S,TV07ZN25E6S,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,11  In Stock,"$1,275.19",RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV07ZN25E6S?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nN6QBgEMxElATvYjxai5siQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV07ZN25E6S&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4748,523-TV07ZN25E6PA,TV07ZN25E6PA,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,4  In Stock,$875.77,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV07ZN25E6PA?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6n7Kqv0oDWoysnL0NX5LYYYQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV07ZN25E6PA&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4749,523-TV07RW25E6PA,TV07RW25E6PA,Amphenol Socapex,https://www.mouser.com/datasheet/2/18/1/Amphenol_11162020_Powersafe_catalog-1923572.pdf,4  In Stock,$796.14,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Socapex/TV07RW25E6PA?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nL%252B7WaDMEXn%2FqzElICEZP0Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TV07RW25E6PA&utm_content=Amphenol-Socapex,,Receptacles,Pin (Male),Crimp,366
4751,649-UTGX6JC10E7P,UTGX6JC10E7P,Souriau,https://www.mouser.com/datasheet/2/379/utgx0005ac-2953382.pdf,17  In Stock,$30.86,RoHS Compliant,,https://www.mouser.com/ProductDetail/Souriau/UTGX6JC10E7P?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nayWjfyxE9inxq%2Fql3MTX4Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UTGX6JC10E7P&utm_content=Souriau,"IP65, IP67, IP69K",Plug Assembly,Pin (Male),Solder,520
4752,649-UTGX010D7P,UTGX010D7P,Souriau,https://www.mouser.com/datasheet/2/379/utgx0001ac-1955139.pdf,12  In Stock,$18.71,RoHS Compliant,,https://www.mouser.com/ProductDetail/Souriau/UTGX010D7P?qs=sGAEpiMZZMvwyOPDUMfDHzZQzxlTPl6nWTXimlzEEINFchukbEOY9w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=UTGX010D7P&utm_content=Souriau,"IP65, IP67, IP69K",Receptacles,Pin (Male),Solder,517
